Record,loggingTime(txt),Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
48,2025-05-31T10:04:02.800,39.5356199,-122.3338533,99.6,0.08,0.000,-0.016,1.000,0,0.15,-0.11,0.01
49,2025-05-31T10:04:02.840,39.5356199,-122.3338533,99.6,0.07,0.000,-0.016,1.000,0,0.16,-0.13,0.01
50,2025-05-31T10:04:02.880,39.5356199,-122.3338533,99.6,0.01,0.000,-0.016,1.000,0,0.16,-0.13,0.02
51,2025-05-31T10:04:02.920,39.5356199,-122.3338533,99.6,0.09,0.000,-0.017,1.000,0,0.16,-0.14,0.02
52,2025-05-31T10:04:02.960,39.5356199,-122.3338533,99.6,0.18,0.000,-0.017,1.000,0,0.16,-0.14,0.01
53,2025-05-31T10:04:03.000,39.5356199,-122.3338533,99.6,0.10,0.000,-0.016,1.000,0,0.16,-0.14,0.01
54,2025-05-31T10:04:03.040,39.5356199,-122.3338533,99.6,0.16,0.000,-0.016,1.001,0,0.16,-0.14,0.01
55,2025-05-31T10:04:03.080,39.5356199,-122.3338533,99.6,0.16,0.000,-0.016,1.000,0,0.16,-0.14,0.01
56,2025-05-31T10:04:03.120,39.5356199,-122.3338533,99.6,0.04,0.000,-0.016,1.000,0,0.16,-0.14,0.02
57,2025-05-31T10:04:03.160,39.5356199,-122.3338533,99.6,0.02,0.000,-0.016,1.000,0,0.16,-0.13,0.02
58,2025-05-31T10:04:03.200,39.5356199,-122.3338533,99.6,0.10,0.000,-0.016,1.000,0,0.16,-0.11,0.03
59,2025-05-31T10:04:03.240,39.5356199,-122.3338533,99.6,0.07,0.000,-0.016,1.000,0,0.16,-0.09,0.03
60,2025-05-31T10:04:03.280,39.5356199,-122.3338533,99.6,0.03,0.000,-0.016,1.000,0,0.16,-0.07,0.03
61,2025-05-31T10:04:03.320,39.5356199,-122.3338533,99.6,0.12,0.000,-0.016,1.000,0,0.16,-0.06,0.03
62,2025-05-31T10:04:03.360,39.5356199,-122.3338533,99.6,0.04,0.000,-0.016,1.000,0,0.16,-0.06,0.03
63,2025-05-31T10:04:03.400,39.5356199,-122.3338533,99.6,0.05,0.000,-0.016,1.000,0,0.16,-0.06,0.02
64,2025-05-31T10:04:03.440,39.5356199,-122.3338533,99.6,0.15,0.000,-0.016,1.000,0,0.16,-0.07,0.02
65,2025-05-31T10:04:03.480,39.5356199,-122.3338535,99.6,0.11,0.000,-0.016,1.000,0,0.16,-0.09,0.02
66,2025-05-31T10:04:03.520,39.5356199,-122.3338534,99.6,0.09,0.000,-0.016,1.001,0,0.16,-0.10,0.01
67,2025-05-31T10:04:03.560,39.5356199,-122.3338535,99.6,0.13,0.000,-0.016,1.001,0,0.16,-0.11,0.01
68,2025-05-31T10:04:03.600,39.5356199,-122.3338535,99.6,0.14,0.000,-0.017,1.001,0,0.16,-0.13,0.00
69,2025-05-31T10:04:03.640,39.5356199,-122.3338535,99.6,0.09,0.000,-0.017,1.000,0,0.16,-0.14,0.00
70,2025-05-31T10:04:03.680,39.5356200,-122.3338535,99.6,0.17,0.000,-0.017,1.000,0,0.16,-0.15,0.00
71,2025-05-31T10:04:03.720,39.5356200,-122.3338535,99.6,0.15,0.000,-0.017,1.000,0,0.16,-0.15,0.00
72,2025-05-31T10:04:03.760,39.5356200,-122.3338535,99.6,0.03,0.000,-0.016,1.001,0,0.16,-0.13,0.01
73,2025-05-31T10:04:03.800,39.5356200,-122.3338535,99.6,0.04,0.000,-0.017,1.000,0,0.17,-0.11,0.01
74,2025-05-31T10:04:03.840,39.5356200,-122.3338535,99.6,0.10,0.000,-0.016,1.000,0,0.16,-0.09,0.02
75,2025-05-31T10:04:03.880,39.5356200,-122.3338535,99.7,0.10,0.000,-0.017,1.000,0,0.16,-0.09,0.02
76,2025-05-31T10:04:03.920,39.5356200,-122.3338535,99.6,0.09,0.000,-0.017,1.000,0,0.16,-0.09,0.02
77,2025-05-31T10:04:03.960,39.5356200,-122.3338536,99.7,0.03,0.000,-0.017,1.000,0,0.16,-0.09,0.02
78,2025-05-31T10:04:04.000,39.5356200,-122.3338536,99.7,0.13,0.000,-0.017,1.000,0,0.16,-0.09,0.02
79,2025-05-31T10:04:04.040,39.5356200,-122.3338536,99.6,0.05,0.000,-0.016,1.000,0,0.16,-0.08,0.02
80,2025-05-31T10:04:04.080,39.5356200,-122.3338536,99.7,0.13,0.000,-0.016,1.000,0,0.16,-0.08,0.02
81,2025-05-31T10:04:04.120,39.5356200,-122.3338536,99.7,0.13,0.000,-0.016,1.000,0,0.16,-0.08,0.02
82,2025-05-31T10:04:04.160,39.5356200,-122.3338536,99.7,0.08,0.000,-0.016,1.000,0,0.16,-0.08,0.02
83,2025-05-31T10:04:04.200,39.5356200,-122.3338536,99.7,0.06,0.000,-0.016,1.000,0,0.15,-0.08,0.02
84,2025-05-31T10:04:04.240,39.5356201,-122.3338536,99.7,0.07,0.000,-0.016,1.000,0,0.15,-0.09,0.02
85,2025-05-31T10:04:04.280,39.5356201,-122.3338537,99.7,0.04,0.000,-0.016,1.000,0,0.15,-0.10,0.02
86,2025-05-31T10:04:04.320,39.5356201,-122.3338537,99.7,0.04,0.000,-0.016,1.000,0,0.16,-0.11,0.02
87,2025-05-31T10:04:04.360,39.5356201,-122.3338537,99.6,0.13,0.000,-0.016,1.000,0,0.16,-0.12,0.02
88,2025-05-31T10:04:04.400,39.5356201,-122.3338537,99.6,0.10,0.000,-0.016,1.000,0,0.15,-0.13,0.02
89,2025-05-31T10:04:04.440,39.5356201,-122.3338537,99.6,0.22,0.000,-0.016,1.000,0,0.15,-0.13,0.02
90,2025-05-31T10:04:04.480,39.5356201,-122.3338538,99.6,0.02,0.000,-0.016,1.000,0,0.14,-0.12,0.02
91,2025-05-31T10:04:04.520,39.5356201,-122.3338538,99.6,0.14,0.000,-0.016,1.000,0,0.14,-0.10,0.03
92,2025-05-31T10:04:04.560,39.5356201,-122.3338538,99.6,0.04,0.000,-0.016,1.000,0,0.15,-0.09,0.03
93,2025-05-31T10:04:04.600,39.5356201,-122.3338538,99.6,0.06,0.000,-0.016,1.000,0,0.16,-0.09,0.02
94,2025-05-31T10:04:04.640,39.5356201,-122.3338538,99.6,0.18,0.000,-0.016,1.000,0,0.16,-0.09,0.02
95,2025-05-31T10:04:04.680,39.5356201,-122.3338538,99.6,0.05,0.000,-0.016,1.000,0,0.17,-0.08,0.02
96,2025-05-31T10:04:04.720,39.5356201,-122.3338538,99.6,0.11,0.000,-0.016,1.000,0,0.17,-0.08,0.02
97,2025-05-31T10:04:04.760,39.5356201,-122.3338538,99.6,0.03,0.000,-0.016,1.000,0,0.17,-0.06,0.02
98,2025-05-31T10:04:04.800,39.5356201,-122.3338538,99.6,0.03,0.000,-0.016,1.001,0,0.16,-0.05,0.02
99,2025-05-31T10:04:04.840,39.5356201,-122.3338540,99.6,0.15,0.000,-0.016,1.000,0,0.16,-0.05,0.03
100,2025-05-31T10:04:04.880,39.5356201,-122.3338540,99.6,0.12,0.000,-0.016,1.001,0,0.15,-0.06,0.03
101,2025-05-31T10:04:04.920,39.5356201,-122.3338540,99.7,0.09,0.000,-0.016,1.000,0,0.15,-0.06,0.03
102,2025-05-31T10:04:04.960,39.5356201,-122.3338540,99.7,0.04,0.000,-0.016,1.000,0,0.15,-0.07,0.02
103,2025-05-31T10:04:05.000,39.5356201,-122.3338540,99.7,0.06,0.000,-0.016,1.000,0,0.15,-0.08,0.02
104,2025-05-31T10:04:05.040,39.5356201,-122.3338540,99.7,0.06,0.000,-0.016,1.000,0,0.15,-0.09,0.02
105,2025-05-31T10:04:05.080,39.5356201,-122.3338540,99.7,0.03,0.000,-0.016,1.000,0,0.15,-0.09,0.02
106,2025-05-31T10:04:05.120,39.5356201,-122.3338540,99.7,0.03,0.000,-0.016,1.001,0,0.15,-0.09,0.02
107,2025-05-31T10:04:05.160,39.5356201,-122.3338540,99.7,0.03,0.000,-0.016,1.000,0,0.15,-0.09,0.02
108,2025-05-31T10:04:05.200,39.5356201,-122.3338540,99.7,0.07,0.000,-0.016,1.000,0,0.15,-0.10,0.02
109,2025-05-31T10:04:05.240,39.5356201,-122.3338540,99.7,0.08,0.000,-0.016,1.000,0,0.15,-0.10,0.02
110,2025-05-31T10:04:05.280,39.5356201,-122.3338540,99.7,0.08,0.000,-0.016,1.000,0,0.16,-0.10,0.02
111,2025-05-31T10:04:05.320,39.5356201,-122.3338540,99.7,0.06,0.000,-0.016,1.000,0,0.16,-0.09,0.02
112,2025-05-31T10:04:05.360,39.5356201,-122.3338540,99.7,0.12,0.000,-0.016,1.000,0,0.16,-0.08,0.02
113,2025-05-31T10:04:05.400,39.5356201,-122.3338540,99.7,0.03,0.000,-0.017,1.000,0,0.16,-0.08,0.02
114,2025-05-31T10:04:05.440,39.5356201,-122.3338540,99.7,0.06,0.000,-0.017,1.000,0,0.15,-0.09,0.02
115,2025-05-31T10:04:05.480,39.5356201,-122.3338540,99.7,0.05,0.000,-0.016,1.000,0,0.15,-0.11,0.02
116,2025-05-31T10:04:05.520,39.5356201,-122.3338540,99.7,0.10,0.000,-0.016,1.000,0,0.15,-0.13,0.01
117,2025-05-31T10:04:05.560,39.5356201,-122.3338540,99.7,0.06,-0.001,-0.016,1.000,0,0.14,-0.15,0.01
118,2025-05-31T10:04:05.600,39.5356201,-122.3338540,99.7,0.05,-0.001,-0.016,1.000,0,0.15,-0.15,0.01
119,2025-05-31T10:04:05.640,39.5356201,-122.3338540,99.7,0.08,-0.001,-0.016,1.000,0,0.15,-0.14,0.02
120,2025-05-31T10:04:05.680,39.5356201,-122.3338540,99.7,0.01,0.000,-0.016,1.000,0,0.15,-0.12,0.02
121,2025-05-31T10:04:05.720,39.5356201,-122.3338540,99.7,0.07,0.000,-0.016,1.000,0,0.15,-0.10,0.03
122,2025-05-31T10:04:05.760,39.5356201,-122.3338540,99.7,0.10,0.000,-0.016,1.000,0,0.15,-0.08,0.03
123,2025-05-31T10:04:05.800,39.5356201,-122.3338540,99.7,0.10,0.000,-0.016,1.001,0,0.15,-0.07,0.04
124,2025-05-31T10:04:05.840,39.5356201,-122.3338540,99.7,0.11,0.000,-0.016,1.001,0,0.15,-0.06,0.04
125,2025-05-31T10:04:05.880,39.5356201,-122.3338540,99.7,0.08,0.000,-0.016,1.000,0,0.15,-0.06,0.04
