loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_Timestamp_since1970(s),IP_en0(txt),IP_pdp_ip0(txt),deviceID(txt),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z),batteryTimeStamp_since1970(s),batteryState(R),batteryLevel(Z),label(N)
2023-06-16T18:50:04.323-07:00,1,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966604.303406,35.54984283447266,-29.5816593170166,69.3892822265625,219.3912506103516,206.3072509765625,20.16052627563477,3061.162459,0.0374755859375,0.0148162841796875,-1.002944946289062,3061.161212,-0.002360359765589237,0.0008372978190891445,0.005944974254816771,3061.13615,-124.2369842529297,27.64640808105469,-263.8409118652344,3061.107625,1.121458614774149,0.0359674990253986,-0.01785450790597654,-0.003145522903650999,-0.002071940572932363,-0.0001869304105639458,0.003596827387809753,-7.700547575950623e-05,0.01887780427932739,XArbitraryCorrectedZVertical,-0.01712181302324004,0.01048170631272522,0.5315608502239592,0.846782075596762,0.03595401346683502,0.01785355992615223,-0.9991939663887024,36.04443359375,-29.39998435974121,68.70175170898438,-1,2,null,0,0,0,0,0,0,0,null,3057.779449,0,-0.9142427,101.2219,1686966604.321901,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966604.302089,1,0.38,0
2023-06-16T18:50:04.353-07:00,2,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966604.343305,35.9127197265625,-29.4085578918457,68.60269165039062,219.3904571533203,206.3064575195312,20.16043663024902,3061.196106,0.0247802734375,0.018402099609375,-0.9948272705078125,3061.161212,-0.002360359765589237,0.0008372978190891445,0.005944974254816771,3061.166615,-123.8048095703125,27.83854675292969,-264.4549560546875,3061.167444,1.121456909314763,0.03595984146385647,-0.01785723075574495,-0.002778699854388833,-0.0003548741806298494,0.001176178455352783,-0.006222181022167206,-0.003512952476739883,-0.008053719997406006,XArbitraryCorrectedZVertical,-0.01712091819177203,0.01047775532697875,0.5315601381926524,0.8467827347478802,0.03594636172056198,0.01785628125071526,-0.9991942048072815,35.75025939941406,-29.48282814025879,68.96310424804688,-1,2,null,0,0,0,0,0,0,0,null,3057.779449,0,-0.9142427,101.2219,1686966604.321901,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966604.302089,1,0.38,0
2023-06-16T18:50:04.388-07:00,3,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966604.383199,35.57471466064453,-29.43141937255859,69.41259765625,219.3904113769531,206.3064117431641,20.16034507751465,3061.229754,0.039398193359375,0.020843505859375,-0.9933929443359375,3061.228508,-0.001687645213678479,0.005647499579936266,0.004416852723807096,3061.227547,-123.2269439697266,27.94082641601562,-265.0111999511719,3061.167444,1.121456909314763,0.03595984146385647,-0.01785723075574495,-0.002778699854388833,-0.0003548741806298494,0.001176178455352783,-0.006222181022167206,-0.003512952476739883,-0.008053719997406006,XArbitraryCorrectedZVertical,-0.01712091819177203,0.01047775532697875,0.5315601381926524,0.8467827347478802,0.03594636172056198,0.01785628125071526,-0.9991942048072815,35.75025939941406,-29.48282814025879,68.96310424804688,-1,2,null,0,0,0,0,0,0,0,null,3057.779449,0,-0.9142427,101.2219,1686966604.321901,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966604.302089,1,0.38,0
2023-06-16T18:50:04.423-07:00,4,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966604.403037,35.86083984375,-29.53775787353516,68.79330444335938,219.3906097412109,206.3066101074219,20.16030120849609,3061.263403,0.04547119140625,0.023101806640625,-0.9796905517578125,3061.262157,-0.005183576606214046,0.004756938200443983,0.004831506870687008,3061.25801,-122.5306396484375,28.02435302734375,-265.5022277832031,3061.227262,1.121473025856025,0.03593663836437843,-0.01781863539791376,0.00184058106970042,0.000693043228238821,-7.7088363468647e-05,-0.00561918318271637,0.003056397661566734,-0.001445174217224121,XArbitraryCorrectedZVertical,-0.01709850060129496,0.01047805619870127,0.5315675676360626,0.8467784067249275,0.03592320159077644,0.01781769283115864,-0.9991956949234009,35.99445343017578,-29.40538787841797,68.892333984375,-1,2,null,0,0,0,0,0,0,0,null,3057.779449,0,-0.9142427,101.2219,1686966604.321901,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966604.302089,1,0.38,0
2023-06-16T18:50:04.458-07:00,5,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966604.442982,36.02229309082031,-29.48926734924316,68.780517578125,219.3896179199219,206.3056182861328,20.16020774841309,3061.297051,0.0283203125,0.014129638671875,-1.000686645507812,3061.295804,0.001331047853454947,0.003449592506513,0.005132177844643593,3061.288475,-123.0833435058594,27.82559204101562,-265.5143127441406,3061.287081,1.12148400224285,0.03593720708606384,-0.01782980105519513,0.002324905712157488,7.881922647356987e-05,0.0004985830746591091,0.007899541407823563,0.001763494685292244,0.01868098974227905,XArbitraryCorrectedZVertical,-0.01710343400590908,0.01047523427628271,0.5315720837950042,0.8467755831230774,0.03592376038432121,0.01782885566353798,-0.9991954565048218,36.22456359863281,-29.5042896270752,68.35250854492188,-1,2,null,0,0,0,0,0,0,0,null,3057.779449,0,-0.9142427,101.2219,1686966604.321901,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966604.302089,1,0.38,0
2023-06-16T18:50:04.498-07:00,6,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966604.482806,35.64698791503906,-29.58995056152344,68.80105590820312,219.3896942138672,206.3056945800781,20.16011810302734,3061.330698,0.0283966064453125,0.019927978515625,-1.006195068359375,3061.329452,-0.004258926957845688,0.005506617948412895,0.00529463030397892,3061.318939,-124.0563354492188,27.65052795410156,-264.682861328125,3061.287081,1.12148400224285,0.03593720708606384,-0.01782980105519513,0.002324905712157488,7.881922647356987e-05,0.0004985830746591091,0.007899541407823563,0.001763494685292244,0.01868098974227905,XArbitraryCorrectedZVertical,-0.01710343400590908,0.01047523427628271,0.5315720837950042,0.8467755831230774,0.03592376038432121,0.01782885566353798,-0.9991954565048218,36.22456359863281,-29.5042896270752,68.35250854492188,-1,2,null,0,0,0,0,0,0,0,null,3057.779449,0,-0.9142427,101.2219,1686966604.321901,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966604.302089,1,0.38,0
2023-06-16T18:50:04.530-07:00,7,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966604.522805,36.52806854248047,-29.48879241943359,67.95111083984375,219.3889007568359,206.3049011230469,20.1600284576416,3061.364347,0.0464019775390625,0.0213623046875,-0.9795989990234375,3061.363101,-0.004523911513388157,0.00410393113270402,0.0053553506731987,3061.349403,-123.4743957519531,27.63325500488281,-265.3524169921875,3061.3469,1.12148702237413,0.03594113545497846,-0.0178177031687886,0.0005308003164827824,-0.00029942044056952,-0.0001630326732993126,0.003836769610643387,-0.001917034387588501,0.01977968215942383,XArbitraryCorrectedZVertical,-0.01709937298500026,0.01048008874728555,0.5315734505925553,0.8467747419447784,0.03592769429087639,0.01781675964593887,-0.9991955757141113,36.15030670166016,-29.61189842224121,68.18057250976562,-1,2,null,0,0,0,0,0,0,0,null,3057.779449,0,-0.9142427,101.2219,1686966604.321901,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966604.302089,1,0.38,0
2023-06-16T18:50:04.559-07:00,8,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966604.542589,36.05941009521484,-29.48950386047363,68.50741577148438,219.3886260986328,206.3046264648438,20.15998077392578,3061.397995,0.0412445068359375,0.0160369873046875,-0.98223876953125,3061.396749,-0.004320446401834488,0.004636563360691071,0.004845621529966593,3061.379867,-123.3488464355469,27.95138549804688,-265.1802978515625,3061.3469,1.12148702237413,0.03594113545497846,-0.0178177031687886,0.0005308003164827824,-0.00029942044056952,-0.0001630326732993126,0.003836769610643387,-0.001917034387588501,0.01977968215942383,XArbitraryCorrectedZVertical,-0.01709937298500026,0.01048008874728555,0.5315734505925553,0.8467747419447784,0.03592769429087639,0.01781675964593887,-0.9991955757141113,36.15030670166016,-29.61189842224121,68.18057250976562,-1,2,null,0,0,0,0,0,0,0,null,3057.779449,0,-0.9142427,101.2219,1686966604.321901,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966604.302089,1,0.38,0
2023-06-16T18:50:04.592-07:00,9,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966604.582479,36.36238098144531,-29.58744049072266,68.07928466796875,219.3882904052734,206.3042907714844,20.15989112854004,3061.431643,0.023284912109375,0.0165863037109375,-1.003997802734375,3061.430396,-0.002763296011835337,0.0021065603941679,0.005223790649324656,3061.410331,-123.0686187744141,27.74339294433594,-265.2067260742188,3061.406719,1.121495921255101,0.03594438557952138,-0.01777516786520455,-0.003349425503984094,0.00100843096151948,0.001505166292190552,-0.01069287583231926,0.0001854263246059418,0.002812564373016357,XArbitraryCorrectedZVertical,-0.01708227780678366,0.01049269996173076,0.5315776111739589,0.8467723373255802,0.03593096882104874,0.01777423173189163,-0.9991961717605591,36.14073181152344,-29.64903831481934,68.66085815429688,-1,2,null,0,0,0,0,0,0,0,null,3057.779449,0,-0.9142427,101.2219,1686966604.321901,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966604.302089,1,0.38,0
2023-06-16T18:50:04.622-07:00,10,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966604.602496,36.74256134033203,-29.50811195373535,67.84515380859375,219.38818359375,206.3041839599609,20.15984535217285,3061.465291,0.035400390625,0.02093505859375,-0.9874420166015625,3061.464045,-0.002007224597036839,0.003893008921295404,0.005438175052404404,3061.440794,-122.3834533691406,27.82720947265625,-266.0782165527344,3061.406719,1.121495921255101,0.03594438557952138,-0.01777516786520455,-0.003349425503984094,0.00100843096151948,0.001505166292190552,-0.01069287583231926,0.0001854263246059418,0.002812564373016357,XArbitraryCorrectedZVertical,-0.01708227780678366,0.01049269996173076,0.5315776111739589,0.8467723373255802,0.03593096882104874,0.01777423173189163,-0.9991961717605591,36.14073181152344,-29.64903831481934,68.66085815429688,-1,2,null,0,0,0,0,0,0,0,null,3057.779449,0,-0.9142427,101.2219,1686966604.321901,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966604.302089,1,0.38,0
